"source_file","page","list_title","document_notes","location_group","section","producer","item","ano","qty","posicion","raw_line"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Lapola Dominio do Bibei","2023","2","CAV 4 - 1 IZQ","Lapola Dominio do Bibei | 2023 | 2 | CAV 4 - 1 IZQ"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Leirana O Pradiño","2022","1","CAV 4 - 1 DER","Leirana O Pradiño | 2022 | 1 | CAV 4 - 1 DER"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Louro","2024","2","CAV 4 - 3 CEN","Louro | 2024 | 2 | CAV 4 - 3 CEN"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Malcorta","2024","2","CAV 3 - 2 DER","Malcorta | 2024 | 2 | CAV 3 - 2 DER"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Mauro Godello","2024","1","CAV 4 - 0 CEN","Mauro Godello | 2024 | 1 | CAV 4 - 0 CEN"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Menade Verdejo","2025","4","CAV 2 - 4 IZQ","Menade Verdejo | 2025 | 4 | CAV 2 - 4 IZQ"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Motor Blanco","2023","2","CAV 3 - 1 CEN","Motor Blanco | 2023 | 2 | CAV 3 - 1 CEN"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Nisia Las Suertes","2024","2","CAV 3 - 1 CEN","Nisia Las Suertes | 2024 | 2 | CAV 3 - 1 CEN"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","O Equilibrio","2024","2","CAV 4 - 1 IZQ","O Equilibrio | 2024 | 2 | CAV 4 - 1 IZQ"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","O Luar Do Sil","2024","2","CAV 4 - 3 DER","O Luar Do Sil | 2024 | 2 | CAV 4 - 3 DER"
