source_file,producer,item,ano_raw,best_pod,best_score,final_pod,final_kind,reason
italia.pdf,Tenuta delle Terre Nere,Moganazzi,2022,POD017657,0.6577,POD017657,existing_pod,score_ok_no_conflict
italia.pdf,Borgogno,Langhe Nebbiolo ‘Rivata’,2023,POD018873,0.6023,POD_TEMP_BM2_0068,temp_pod,low_score
italia.pdf,Falletto,Barbaresco ‘Rabajà’,2020,POD012564,0.5028,POD_TEMP_BM2_0069,temp_pod,low_score
italia.pdf,G.D. Vajra,Arulej ‘Controcorrente’,2023,POD014184,0.5036,POD_TEMP_BM2_0070,temp_pod,low_score
italia.pdf,Podere San Giuseppe (Bacia),Brunello di Montalcino,2019,POD013366,0.5255,POD_TEMP_BM2_0071,temp_pod,low_score
italia.pdf,Caciorgna,Etna Rosso ‘Ciauria’,2024,POD012581,0.6517,POD012581,existing_pod,score_ok_no_conflict
italia.pdf,Cascina delle Rose,Barbera d’Alba ‘Donna Elena’,2022,POD018409,0.7173,POD018409,existing_pod,score_ok_no_conflict
italia.pdf,Falletto,Barbera d’Alba,2022,POD011992,0.52,POD_TEMP_BM2_0072,temp_pod,low_score
italia.pdf,Le Macchiole,Bolgheri Rosso,2022,POD_TEMP_1096,0.6916,POD_TEMP_1096,existing_pod,score_ok_no_conflict
italia.pdf,Ornellaia,Bolgheri,2019,POD009229,0.635,POD_TEMP_BM2_0073,temp_pod,low_score
italia.pdf,Ornellaia,Bolgheri,2021,POD012491,0.705,POD_TEMP_BM2_0074,temp_pod,best_pod_conflict
italia.pdf,Ornellaia,Bolgheri,2022,POD012491,0.635,POD_TEMP_BM2_0075,temp_pod,best_pod_conflict
resto_francia.pdf,Domaine Delaporte,Sancerre ‘Silex’,2022,POD017490,0.5886,POD_TEMP_BM2_0076,temp_pod,low_score
resto_francia.pdf,Isabel Ferrando (Saint Préfert),Châteauneuf-du-Pape,2023,POD_TEMP_1093,0.4664,POD_TEMP_BM2_0077,temp_pod,low_score
resto_francia.pdf,Isabel Ferrando (Saint Préfert),Côte-Rôtie ‘Champin le Seigneur’,2022,POD015909,0.5026,POD_TEMP_BM2_0078,temp_pod,best_pod_conflict
resto_francia.pdf,Isabel Ferrando (Saint Préfert),Côte-Rôtie ‘Les Grandes Places’,2022,POD019768,0.4699,POD_TEMP_BM2_0079,temp_pod,low_score
resto_francia.pdf,Antoine Sanzay,Saumur-Champigny ‘Les Poyeux’,2022,POD019764,0.6768,POD019764,existing_pod,score_ok_no_conflict
resto_francia.pdf,Château Rayas,Châteauneuf-du-Pape,2010,POD009898,0.7725,POD009898,existing_pod,score_ok_no_conflict
resto_francia.pdf,Château des Tours,Vin de Pays de Vaucluse,2019,POD011715,0.7097,POD011715,existing_pod,score_ok_no_conflict
resto_francia.pdf,Château des Tours,Vin de Pays de Vaucluse,2020,POD016430,0.6583,POD016430,existing_pod,score_ok_no_conflict
