page,y,name,ano,qty,pos,compact_loc
32,398.0,César Márquez Valtuille,2023,2,CAV 1 - 11 CEN,1·11·CEN
32,383.5,Clos Martinet,2022,1,CAV 1 - 10 CEN,1·10·CEN
32,369.0,Comando G Navatalgordo,2023,2,CAV 1 - 6 DER,1·6·DER
32,354.5,Conde de San Cristóbal,2022,2,CAV 4 - 9 CEN,4·9·CEN
32,340.0,Contino Reserva,2021,2,CAV 3 - 6 CEN,3·6·CEN
32,325.5,Corimbo,2022,2,CAV 4 - 6 DER,4·6·DER
32,311.0,Corimbo I,2018,2,CAV 1 - 5 IZQ,1·5·IZQ
32,296.5,Corullón,2022,2,CAV 1 - 11 IZQ,1·11·IZQ
32,282.0,Costumbres,2023,2,CAV 3 - 10 DER,3·10·DER
32,267.5,Dido,2022,2,CAV 3 - 6 CEN,3·6·CEN
32,253.0,Dominio de Anza Selección de Parcelas,2023,2,CAV 1 - 6 IZQ,1·6·IZQ
32,238.5,Dominio de Atauta,,2,CAV 4 - 7 CEN,4·7·CEN
32,224.0,Dominio de Calogía,2021,2,CAV 4 - SUELO IZQ,4·SUELO·IZQ
32,209.5,Dominio de Calogía Doble M,2020,2,CAV 4 - 6 CEN,4·6·CEN
32,195.0,Dominio del Soto,2020,2,CAV 4 - 8 CEN,4·8·CEN
32,166.0,El Reflejo de Mikaela,2021,2,CAV 1 - 6 IZQ,1·6·IZQ
32,151.5,Figuero Viñas Viejas,2021,2,CAV 4 - 7 IZQ,4·7·IZQ
32,137.0,Finca de los locos,2023,2,CAV 3 - 9 IZQ,3·9·IZQ
32,122.5,Finca Dofí,,1,CAV 1 - 10 IZQ,1·10·IZQ
32,108.0,Finca El Terrerazo,2022,2,CAV 4 - 10 CEN,4·10·CEN
32,93.5,Finca Villacreces,2021,3,CAV 1 - 4 IZQ,1·4·IZQ
32,78.5,Flor de Pingus,2012,1,CAV 4 - EXP B DER,4·EXP·B_DER
32,64.0,Flor de Pingus,2022,2,CAV 4 - EXP B IZQ,4·EXP·B_IZQ
34,761.5,Gratallops,2022,2,CAV 1 - 10 IZQ,1·10·IZQ
34,746.5,Guardaviñas,2023,2,CAV 3 - 8 DER,3·8·DER
34,717.5,Hacienda Monasterio,2020,2,CAV 4 - 8 CEN,4·8·CEN
34,688.5,Hispania Territorio Luthier,2021,2,CAV 4 - 8 IZQ,4·8·IZQ
34,674.0,Hombre Bala,2022,2,CAV 1 - 7 IZQ,1·7·IZQ
34,659.5,Izadi Selección Reserva,2020,2,CAV 3 - 6 DER,3·6·DER
34,645.0,Jirón de Niebla,2020,2,CAV 3 - SUELO CEN,3·SUELO·CEN
34,630.5,La Baixada,2021,1,CAV 1 - 10 IZQ,1·10·IZQ
34,616.0,La condenada,2023,1,CAV 3 - 4B DER,3·4B·DER
34,587.0,La Faraona,2022,1,CAV 1 - 10 DER,1·10·DER
34,572.5,La Muria,2023,2,CAV 1 - EXP DER,1·EXP·DER
34,558.0,La Nieta,2022,1,CAV 3 - 5 DER,3·5·DER
34,543.5,La Quebrá,2021,1,CAV 1 - 12 DER,1·12·DER
34,529.0,La Rioja Alta 890 GR,2010,1,CAV 3 - EXP B IZQ,3·EXP·B_IZQ
34,514.5,La Rioja Alta 904 GR,2016,2,CAV 3 - 4B CEN,3·4B·CEN
34,500.0,La Tendida,2022,2,CAV 1 - SUELO IZQ,1·SUELO·IZQ
34,485.5,La vizcaína El Rapolao,2023,2,CAV 1 - 11 DER,1·11·DER
34,471.0,Lalama Dominio do Bibei,2021,2,CAV 1 - 5 CEN,1·5·CEN
34,442.0,Las Beatas,2022,1,CAV 3 - 4B CEN,3·4B·CEN
34,427.5,Las Beatas,2022,1,CAV 3 - 4B CEN,3·4B·CEN
34,413.0,Las lamas,2021,2,CAV 1 - 10 DER,1·10·DER
34,398.0,l'Ermita,2022,1,CAV 1 - 10 CEN,1·10·CEN
34,383.5,Les Aubaguetes,2021,1,CAV 1 - 10 CEN,1·10·CEN
34,369.0,Lindes de Remelluri Salinillas de Buradón,2021,2,CAV 3 - 9 DER,3·9·DER
34,354.5,Lindes de Remelluri San Vicente,2021,2,CAV 3 - 9 DER,3·9·DER
34,340.0,Macán Clásico,2021,2,CAV 3 - 6 DER,3·6·DER
34,325.5,Malabrigo,2022,2,CAV 4 - 6 CEN,4·6·CEN
34,311.0,Malleolus de Sanchomartín,2021,1,CAV 4 - SUELO DER,4·SUELO·DER
34,296.5,Malleolus de Valderramiro,2020,1,CAV 3 - SUELO IZQ,3·SUELO·IZQ
34,282.0,Malpuesto,,2,CAV 3 - 4B DER,3·4B·DER
34,267.5,Maria Alonso del Yerro,2021,2,CAV 4 - 6 IZQ,4·6·IZQ
34,253.0,María Remirez de Ganuza,2019,1,CAV 3 - 5 CEN,3·5·CEN
34,238.5,Marques de Murrieta Reserva,2021,4,CAV 1 - 3 IZQ,1·3·IZQ
34,224.0,Marqués de Vargas Reserva,2020,2,CAV 3 - 10 CEN,3·10·CEN
34,209.5,Mas Doix Salanques,2022,2,CAV 1 - 6 CEN,1·6·CEN
34,195.0,Massuria,2020,2,CAV 1 - 12 CEN,1·12·CEN
34,180.5,Matas Altas,2024,2,CAV 1 - 5 CEN,1·5·CEN
34,166.0,Mauro,2023,2,CAV 4 - 10 IZQ,4·10·IZQ
34,151.5,Miguel Merino Viñas Jóvenes,2022,2,CAV 3 - 8 CEN,3·8·CEN
34,137.0,Moncerbal,2021,1,CAV 1 - 10 IZQ,1·10·IZQ
34,122.5,Moncerbal,2022,1,CAV 1 - 10 DER,1·10·DER
34,108.0,Monte Pío Malabesta,2021,2,CAV 4 - 10 CEN,4·10·CEN
34,93.5,Muga Selección Especial,2021,2,CAV 3 - 8 CEN,3·8·CEN
34,78.5,Numanthia,2020,2,CAV 1 - 6 IZQ,1·6·IZQ
34,64.0,Orben,2021,2,CAV 3 - 7 IZQ,3·7·IZQ
36,746.5,Paydos,2019,2,CAV 4 - 9 IZQ,4·9·IZQ
36,732.0,Peñas aladas,2019,1,CAV 4 -8 DER,4·8·DER
36,717.5,Pícaro del águila,2022,2,CAV 4 - 6 DER,4·6·DER
36,703.0,Pingus,2021,1,CAV 4 - EXP B IZQ,4·EXP·B_IZQ
36,688.5,Pintia,2020,2,CAV 3 - SUELO DER,3·SUELO·DER
36,674.0,Prado Enea,2016,1,CAV 3 - EXP B DER,3·EXP·B_DER
36,659.5,PSI,2022,2,CAV 4 - 7 IZQ,4·7·IZQ
36,645.0,Quiñón de Valmira,2021,1,CAV 3 - EXP B DER,3·EXP·B_DER
36,630.5,Remelluri Reserva,2017,2,CAV 3 - 9 CEN,3·9·CEN
36,616.0,Remirez de Ganuza GR,1994,1,CAV 3 - 4B IZQ,3·4B·IZQ
36,601.5,Remirez de Ganuza GR,1994,1,CAV 3 - 4B IZQ,3·4B·IZQ
36,587.0,Remirez de Ganuza GR,1994,1,CAV 3 - 4B IZQ,3·4B·IZQ
36,572.5,Remirez de Ganuza GR,1994,1,CAV 3 - 4B IZQ,3·4B·IZQ
36,558.0,Remirez de Ganuza Reserva,2018,2,CAV 3 - 7 CEN,3·7·CEN
36,543.5,Remirez de Ganuza Trasnocho,2019,2,CAV 3 - 7 DER,3·7·DER
36,529.0,Remirez de Ganuza Viña Coqueta,2015,2,CAV 3 - 7 DER,3·7·DER
36,514.5,ROC,2023,2,CAV 1 - 11 DER,1·11·DER
36,500.0,Roda I Reserva,2020,2,CAV 1 - 3 CEN,1·3·CEN
36,485.5,Roda Reserva,2021,2,CAV 3 - 8 IZQ,3·8·IZQ
36,471.0,San Cobate La Finca,2021,3,CAV 1 - 3 DER,1·3·DER
36,456.5,San Cucufate Altos del Viso,2019,1,CAV 4 - 7 DER,4·7·DER
36,442.0,San Cucufate Bancales,2019,1,CAV 4 - 7 DER,4·7·DER
36,427.5,San Cucufate Monasterio,2019,1,CAV 4 - 7 DER,4·7·DER
36,413.0,San Roman,2022,2,CAV 4 - 9 CEN,4·9·CEN
36,398.0,San Roman Garnacha,2022,2,CAV 4 - 9 DER,4·9·DER
36,383.5,Sangarida Pico Tuerto,2022,2,CAV 1 - 11 CEN,1·11·CEN
36,369.0,Seoane Novelle Mencia,2022,2,CAV 1 - 11 CEN,1·11·CEN
36,354.5,Sierra Cantabria Col Privada,2022,2,CAV 3 - 8 IZQ,3·8·IZQ
36,340.0,Son Agulló,2022,2,CAV 4 - 4B IZQ,4·4B·IZQ
36,325.5,Suañé,2019,2,CAV 3 - 10 CEN,3·10·CEN
36,311.0,Suelos,2021,2,CAV 3 - 8 DER,3·8·DER
36,296.5,Suzzane,2023,2,CAV 3 - 9 IZQ,3·9·IZQ
36,282.0,Telescópico,2022,2,CAV 1 - 5 DER,1·5·DER
