orden,excel_row,tipo,cava,area,balda,linea,sublinea,es_checklist,entrada_sin_checkbox,vino_sin_cantidad,cantidad,cantidad_raw,nota_post_cantidad,texto_excel,item_id,item_part,item_total_parts,item_entrada_completa,item_vino_sin_cantidad_completo,item_cantidad,item_cantidad_raw,item_nota_post_cantidad
55,66,ITEM,CAVA B,,BALDA 1,,,False,Qué bonito cacareaba 2023 x1,Qué bonito cacareaba 2023,1,x1,,Qué bonito cacareaba 2023 x1,I0042,1,1,Qué bonito cacareaba 2023 x1,Qué bonito cacareaba 2023,1,x1,
56,68,BALDA,CAVA B,,BALDA 2,,,,,,,,,BALDA 2,,,,,,,,
57,69,ITEM,CAVA B,,BALDA 2,,,False,Dom Perignon Vintage 2006 Plenitude 2 x2,Dom Perignon Vintage 2006 Plenitude 2,2,x2,,Dom Perignon Vintage 2006 Plenitude 2 x2,I0043,1,1,Dom Perignon Vintage 2006 Plenitude 2 x2,Dom Perignon Vintage 2006 Plenitude 2,2,x2,
58,70,ITEM,CAVA B,,BALDA 2,,,False,Dom Perignon Vintage 2015 x1,Dom Perignon Vintage 2015,1,x1,,Dom Perignon Vintage 2015 x1,I0044,1,1,Dom Perignon Vintage 2015 x1,Dom Perignon Vintage 2015,1,x1,
59,71,ITEM,CAVA B,,BALDA 2,,,False,Dom Perignon Rose Vintage 2009 x1,Dom Perignon Rose Vintage 2009,1,x1,,Dom Perignon Rose Vintage 2009 x1,I0045,1,1,Dom Perignon Rose Vintage 2009 x1,Dom Perignon Rose Vintage 2009,1,x1,
60,72,ITEM,CAVA B,,BALDA 2,,,False,Krug Grande Cuvee 173Eme Edition Brut x1,Krug Grande Cuvee 173Eme Edition Brut,1,x1,,Krug Grande Cuvee 173Eme Edition Brut x1 ,I0046,1,1,Krug Grande Cuvee 173Eme Edition Brut x1,Krug Grande Cuvee 173Eme Edition Brut,1,x1,
61,73,ITEM,CAVA B,,BALDA 2,,,False,Gosset Gran Reserva  Brut x2,Gosset Gran Reserva  Brut,2,x2,,Gosset Gran Reserva  Brut x2,I0047,1,1,Gosset Gran Reserva  Brut x2,Gosset Gran Reserva  Brut,2,x2,
62,74,ITEM,CAVA B,,BALDA 2,,,False,Jacques son 747 Extra Brut x5,Jacques son 747 Extra Brut,5,x5,,Jacques son 747 Extra Brut x5,I0048,1,1,Jacques son 747 Extra Brut x5,Jacques son 747 Extra Brut,5,x5,
63,75,ITEM,CAVA B,,BALDA 2,,,False,Louis Roederer Collection 246 x1,Louis Roederer Collection 246,1,x1,,Louis Roederer Collection 246 x1 ,I0049,1,1,Louis Roederer Collection 246 x1,Louis Roederer Collection 246,1,x1,
64,76,ITEM,CAVA B,,BALDA 2,,,False,"Billecart Salmón , Le Reserve Extra Brut x1","Billecart Salmón , Le Reserve Extra Brut",1,x1,,"Billecart Salmón , Le Reserve Extra Brut x1",I0050,1,1,"Billecart Salmón , Le Reserve Extra Brut x1","Billecart Salmón , Le Reserve Extra Brut",1,x1,
